1,480445
2,239098
3,159617
4,121118
5,98003
6,83230
7,73107
8,65208
9,59333
10,54667
11,51382
12,48359
13,45924
14,44312
15,42735
16,41414
17,40245
18,39453
19,38773
20,38195
21,37869
22,37305
23,37066
24,36574
25,36171
